file,config,particle,D_m,Lw_cm,Epw_cm,material,H,config_dir,tally_14_value,tally_14_error,tally_1014_total_value,tally_1014_total_error,dose_Dp10_calc,dose_Dp10_calc_error,dose_Hstar10_calc,dose_Hstar10_calc_error,dose_E_calc,dose_E_calc_error,diff_Dp10_pct
SR_Pu_UN_G1_C1_N_D500.0m_Lw_25000.0cm_Epw5.0cm_w_steel.o,C1,N,500.0,25000.0,5.0,steel,0,C1_H_0,1.581e-10,0.0688,1.93433e-11,0.0245,1.511039794798154e-10,0.06773471811120838,1.635425738837901e-09,0.07087058180077906,1.114133859902671e-09,0.09298023808171675,-4.42506041757407
SR_Pu_UN_G1_C1_N_D700.0m_Lw_35000.0cm_Epw5.0cm_w_steel.o,C1,N,700.0,35000.0,5.0,steel,0,C1_H_0,3.00912e-11,0.0427,3.80822e-12,0.0177,2.8838068651979513e-11,0.04252577402206386,3.142108168773293e-10,0.04965340381726171,2.0892044313047085e-10,0.05982229317051476,-4.164444581872722
SR_Pu_UN_G1_C1_N_D1000.0m_Lw_50000.0cm_Epw5.0cm_w_steel.o,C1,N,1000.0,50000.0,5.0,steel,0,C1_H_0,2.87669e-12,0.0494,3.96182e-13,0.017,2.769594574770152e-12,0.04919745936962844,2.8708054368216892e-11,0.057570985163703216,1.920311517628549e-11,0.07437554413988107,-3.7228698688370305
SR_Pu_UN_G1_C1_N_D1200.0m_Lw_60000.0cm_Epw5.0cm_w_steel.o,C1,N,1200.0,60000.0,5.0,steel,0,C1_H_0,6.72811e-13,0.0389,8.79223e-14,0.0166,6.454549828144906e-13,0.03842504902922071,6.8270370790977416e-12,0.04895310155952152,4.68759318591468e-12,0.05807497508215129,-4.06592894371664
SR_Pu_UN_G1_C1_N_D1.0m_Lw_50.0cm_Epw10.0cm_w_steel.o,C1,N,1.0,50.0,10.0,steel,0,C1_H_0,0.000110674,0.0065,4.82361e-06,0.0096,0.00010499310633254614,0.0062403988333754705,0.0014700727626147598,0.006670788545393312,0.001067044678085506,0.006179184463331537,-5.132997512924326
SR_Pu_UN_G1_C1_N_D2.0m_Lw_100.0cm_Epw10.0cm_w_steel.o,C1,N,2.0,100.0,10.0,steel,0,C1_H_0,3.12108e-05,0.0108,1.47361e-06,0.0176,2.960784072765361e-05,0.010656271003608069,0.0004122202569047356,0.011123956593725224,0.00029774156889863113,0.011025928091923383,-5.135912159721617
SR_Pu_UN_G1_C1_N_D5.0m_Lw_250.0cm_Epw10.0cm_w_steel.o,C1,N,5.0,250.0,10.0,steel,0,C1_H_0,5.1504e-06,0.015,2.60247e-07,0.0172,4.88791695652953e-06,0.014797269957973773,6.748503972217113e-05,0.015597121535077618,4.8377502541946385e-05,0.015343013825089097,-5.096362291675794
SR_Pu_UN_G1_C1_N_D10.0m_Lw_500.0cm_Epw10.0cm_w_steel.o,C1,N,10.0,500.0,10.0,steel,0,C1_H_0,1.23926e-06,0.0154,6.98635e-08,0.0205,1.1749466487639432e-06,0.015237049551980722,1.61415590711382e-05,0.016379457705105707,1.1385635035040568e-05,0.01600022743160509,-5.189657637304267
SR_Pu_UN_G1_C1_N_D20.0m_Lw_1000.0cm_Epw10.0cm_w_steel.o,C1,N,20.0,1000.0,10.0,steel,0,C1_H_0,3.09989e-07,0.0084,1.8686e-08,0.0118,2.943637451150368e-07,0.008306042014630106,4.035734104412529e-06,0.00862637811782815,2.805410274340023e-06,0.00845336119518691,-5.040583661021268
SR_Pu_UN_G1_C1_N_D200.0m_Lw_10000.0cm_Epw10.0cm_w_steel.o,C1,N,200.0,10000.0,10.0,steel,0,C1_H_0,2.40888e-09,0.0379,2.6423e-10,0.0207,2.3004663546872434e-09,0.03819125852037581,2.7821444296908428e-08,0.04706271768638647,1.7977345554170012e-08,0.0506628051260377,-4.500583064027956
SR_Pu_UN_G1_C1_N_D2.0m_Lw_100.0cm_Epw1.0cm_w_steel.o,C1,N,2.0,100.0,1.0,steel,0,C1_H_0,5.07025e-05,0.0093,1.93824e-06,0.0163,4.8168454930964424e-05,0.009172692275060375,0.0005953609064971498,0.010493912330162105,0.0004972837773965846,0.00918373677202167,-4.997870063676493
SR_Pu_UN_G1_C1_N_D300.0m_Lw_15000.0cm_Epw10.0cm_w_steel.o,C1,N,300.0,15000.0,10.0,steel,0,C1_H_0,7.10262e-10,0.0288,9.01648e-11,0.0184,6.801753050920949e-10,0.028560340288082284,7.715327923303468e-09,0.0362259910138944,4.918122194854722e-09,0.04007005045268768,-4.235999519600532
