file,D_m,rfis_cm,wall_thk_cm,config,particle,material,tally_14_value,tally_14_error,tally_24_value,tally_24_error,tally_34_value,tally_34_error,error,dose_14_calc,dose_14_calc_error,dose_24_calc,dose_24_calc_error,dose_34_calc,dose_34_calc_error,diff_14_pct,diff_24_pct,diff_34_pct
SR-U-UN-G1-C1-N_steel_1cm_D20m.i,20.0,25.5476,1.0,C1,N,steel,1.44718e-07,0.037,1.65355e-06,0.0379,1.33445e-06,0.0378,,1.4475099716208615e-07,0.03682600628040852,1.653922279830706e-06,0.03775893645475042,1.3346514459311205e-06,0.03773939204654966,0.02280100753612801,0.022513974824221537,0.015095802099780262
SR-U-UN-G1-C1-N_steel_1cm_D50m.i,50.0,25.5476,1.0,C1,N,steel,2.46686e-08,0.0571,2.86077e-07,0.0631,2.183e-07,0.0648,,2.4690428233970953e-08,0.05706418747198943,2.863322941425754e-07,0.06320881202755507,2.1854963165984332e-07,0.06480115466437614,0.08848590504104185,0.08923966015282499,0.11435256978622461
SR-U-UN-G1-C1-N_steel_1cm_D100m.i,100.0,25.5476,1.0,C1,N,steel,6.20737e-09,0.0417,6.90913e-08,0.0445,5.33947e-08,0.0478,,6.209317466019796e-09,0.04155434852470233,6.909333472489098e-08,0.04421749617166016,5.3395638082668114e-08,0.0476639794862732,0.031373448333119676,0.002944979890359622,0.0017568834886496293
SR-U-UN-G1-C1-N_steel_1cm_D200m.i,200.0,25.5476,1.0,C1,N,steel,1.19948e-09,0.0321,1.39307e-08,0.0375,1.01109e-08,0.0391,,1.2000566442246186e-09,0.03194649785410658,1.3938588562070266e-08,0.03732483779984699,1.0115810472699208e-08,0.03891878044039007,0.04807451767587046,0.056627176453923074,0.04856612862562765
SR-U-UN-G1-C1-N_steel_1cm_D300m.i,300.0,25.5476,1.0,C1,N,steel,3.7112e-10,0.0329,4.19981e-09,0.0318,3.0797e-09,0.0424,,3.711942698366115e-10,0.03266757738370251,4.200505871588997e-09,0.03154234196180542,3.0799242162808483e-09,0.04215487073975239,0.020012350886906612,0.016569120722042044,0.007280458513761753
SR-U-UN-G1-C1-N_steel_1cm_D500m.i,500.0,25.5476,1.0,C1,N,steel,5.5799e-11,0.0306,6.39588e-10,0.032,4.45947e-10,0.0414,,5.582006613387602e-11,0.030404753139286575,6.398330469407862e-10,0.03174284284456466,4.4611940525802254e-10,0.041231122776540605,0.03775360468112436,0.0383132486516614,0.03866048163179095
SR-U-UN-G1-C1-N_steel_1cm_D700m.i,700.0,25.5476,1.0,C1,N,steel,1.15801e-11,0.0354,1.26953e-10,0.028,8.94736e-11,0.0427,,1.1582786495699627e-11,0.035245781264282516,1.2698865513160102e-10,0.02775120940523962,8.949612042410815e-11,0.04248511974435622,0.023199244390176208,0.028085300545091663,0.025169909457260133
SR-U-UN-G1-C1-N_steel_1cm_D1000m.i,1000.0,25.5476,1.0,C1,N,steel,1.23948e-12,0.0247,1.34391e-11,0.0228,9.45474e-12,0.0314,,1.2397271554725108e-12,0.02449105750462664,1.3444232132238727e-11,0.02260237721867761,9.456868368357195e-12,0.031183325674842784,0.019940254986825594,0.0381880649651199,0.02251112518371961
SR-U-UN-G1-C1-N_steel_1cm_D1200m.i,1200.0,25.5476,1.0,C1,N,steel,2.9803e-13,0.0193,3.23811e-12,0.019,2.27027e-12,0.0251,,2.9808038088353677e-13,0.018978537628723625,3.238746971861657e-12,0.01870711263704535,2.2703565842048627e-12,0.024793784367770164,0.016904634948420323,0.019671100168219192,0.0038138285253524404
SR-U-UN-G1-C1-N_steel_5cm_D1m.i,1.0,25.5476,5.0,C1,N,steel,2.75343e-05,0.0308,0.00034268,0.0282,0.000275188,0.0303,,2.7536612657786172e-05,0.030439824733338262,0.00034269527815247703,0.027765355853771437,0.00027520397306050377,0.030024527560968284,0.008399188598114693,0.004458431328655388,0.005804417526844977
SR-U-UN-G1-C1-N_steel_5cm_D2m.i,2.0,25.5476,5.0,C1,N,steel,9.29331e-06,0.0354,0.000116656,0.0367,9.25322e-05,0.0356,,9.293256044183343e-06,0.03516422745706312,0.00011666916233487456,0.03650515101198338,9.254122122586073e-05,0.035524227746569215,-0.000580587720164445,0.011283032912633394,0.009749282801802083
SR-U-UN-G1-C1-N_steel_5cm_D5m.i,5.0,25.5476,5.0,C1,N,steel,1.77597e-06,0.0387,2.25012e-05,0.0404,1.74029e-05,0.0383,,1.776862489438928e-06,0.03860302121421801,2.2514994158908294e-05,0.04025955062110713,1.74109414687192e-05,0.03817619469788149,0.050253632602355824,0.061304103373569944,0.0462076361939643
SR-U-UN-G1-C1-N_steel_5cm_D10m.i,10.0,25.5476,5.0,C1,N,steel,4.33569e-07,0.0381,5.39889e-06,0.0403,4.20498e-06,0.0384,,4.334934377075343e-07,0.038006125407455384,5.3988018313144765e-06,0.04025222133096074,4.205310347463447e-06,0.038363004737142,-0.017427973970852665,-0.0016330891261674791,0.007856100705525039
